hom_2_9	rescue%1:04:00::	economy%1:04:00::
hom_3_7	bunco%1:04:00::	sting%1:26:00::
hom_4_5	entrench%2:35:00::	entrench%2:35:01::
hom_5_15	invent%2:36:00::	shape%2:36:00::
hom_7_14	hit%1:06:00::	hit%1:04:03::
hom_8_17	vault%1:06:01::	vault%1:06:02::
hom_10_13	pin%1:06:07::	pin%1:06:01::
hom_11_9	salt_lick%1:17:00::	solve%2:31:00::
hom_14_14	admit%2:32:00::	accept%2:40:03::
hom_15_15	goner%1:18:00::	crispen%2:30:00::
hom_16_13	plant%1:18:00::	plant%1:03:00::
hom_18_8	square%1:06:00::	square%1:25:00::
hom_19_3	sculpt%2:35:00::	scratch%2:35:04::
hom_20_17	wall_socket%1:06:00::	exit%1:06:00::
hom_21_9	draw%2:41:13::	pull%2:35:00::
hom_22_15	snort%2:29:00::	snort%2:32:00::
hom_23_7	burn%1:26:00::	burn%2:30:02::
hom_26_15	spell%2:41:00::	spell%2:36:00::
hom_27_10	bounce%2:38:00::	bounce%2:35:03::
hom_28_5	changeable%5:00:00:colorful:00	shooting%1:04:00::
hom_30_8	jet%2:35:00::	spurt%2:38:01::
hom_31_12	raft%1:06:00::	batch%1:23:00::
hom_34_15	coach%2:32:00::	coach%2:38:00::
hom_38_9	break%2:42:05::	unwrap%2:32:00::
hom_39_20	flat%5:00:00:even:01	degree%1:07:00::
hom_43_8	case%1:10:01::	event%1:26:00::
hom_45_6	part%1:10:00::	part%1:24:00::
hom_46_9	focus%1:15:00::	focus%1:09:00::
hom_48_10	cover%1:04:00::	blanket%1:06:00::
hom_51_8	fret%1:06:00::	choke%2:35:00::
hom_52_19	still%1:06:00::	still%4:02:01::
hom_53_8	patent%2:41:00::	patent%1:10:01::
hom_55_12	examine%2:39:00::	see%2:39:00::
hom_58_15	metrical_foot%1:10:00::	foot%2:40:00::
hom_62_9	landing%1:06:00::	landing%1:06:01::
hom_63_10	precede%2:32:03::	premise%1:10:00::
hom_67_15	bar%1:06:07::	barroom%1:06:00::
hom_70_9	snap_bean%1:13:00::	tear%2:35:00::
hom_71_21	scattering%1:19:01::	sprinkle%1:04:00::
hom_72_10	faculty%1:09:00::	staff%1:14:00::
hom_74_9	energy%1:19:00::	energy%1:07:02::
hom_75_13	book%1:10:00::	reserve%2:41:00::
hom_76_7	count%1:04:00::	count%1:23:00::
hom_77_14	rest%1:04:00::	remainder%1:24:00::
hom_78_18	crunch%1:26:00::	crunch%1:11:00::
hom_80_5	spout%1:06:00::	spurt%2:38:01::
hom_82_6	makeover%1:04:00::	makeover%1:04:01::
hom_83_4	rejoin%2:41:00::	retort%2:32:00::
hom_85_15	bandstand%1:06:00::	stand%2:35:00::
hom_86_20	phonograph_record%1:06:00::	record%1:10:03::
hom_87_13	pat%1:11:00::	chuck%2:35:01::
hom_88_11	pit%2:33:00::	match%1:06:00::
hom_90_3	chill%1:26:01::	cool%2:30:01::
hom_91_15	beginning%1:15:00::	root%1:10:00::
hom_93_14	branch%2:30:00::	branch%1:20:00::
hom_96_12	shock%1:11:01::	float%2:38:00::
hom_97_6	down%3:00:00::	down%4:02:00::
hom_99_10	perturb%2:37:00::	unhinge%2:30:00::
hom_100_20	racket%1:06:00::	racket%1:11:00::
hom_103_7	croak%2:32:01::	die%2:30:00::
hom_104_17	pick%1:06:00::	blame%2:32:01::
hom_109_10	tidal_bore%1:11:00::	hold%2:42:13::
hom_110_11	furrow%2:35:00::	rut%1:04:00::
hom_112_7	get%1:04:00::	become%2:30:00::
hom_113_11	type%1:06:00::	type%1:09:00::
hom_115_11	cue%1:10:00::	clue%1:10:01::
hom_116_14	toilet%1:06:01::	chamberpot%1:06:00::
hom_117_5	swot%1:18:00::	drudgery%1:04:00::
hom_124_7	learn%2:31:01::	see%2:39:00::
hom_125_17	genitive%1:10:00::	possessive%5:00:00:acquisitive:00
hom_128_16	pitch%1:27:00::	pitch%1:07:00::
hom_130_11	bristle%2:42:02::	abound%2:42:01::
hom_136_15	drain%1:04:00::	drain%1:06:00::
