hom_3_7	sting%1:26:01::	sting%2:35:01::
hom_4_5	entrench%2:41:00::	entrenched%5:00:00:established:00
hom_5_15	forge%2:36:08::	forge%2:36:03::
hom_7_14	hit%1:04:03::	hit%2:33:00::
hom_8_17	vault%1:06:02::	vault%2:38:01::
hom_9_11	deep%1:17:00::	deep%5:00:01:intense:00
hom_10_13	pin%2:35:03::	pin%1:06:07::
hom_11_9	lick%2:35:01::	lick%2:31:00::
hom_14_14	admit%2:42:04::	admit%2:42:03::
hom_15_15	toast%2:34:00::	toast%2:30:00::
hom_16_13	plant%2:35:06::	plant%2:35:00::
hom_18_8	square%1:25:00::	square%2:42:00::
hom_19_3	grave%2:35:01::	grave%5:00:00:important:00
hom_20_17	outlet%1:06:02::	outlet%1:06:01::
hom_21_9	draw%2:41:13::	draw%2:40:01::
hom_22_15	snort%2:34:01::	snort%2:29:00::
hom_23_7	burn%2:30:02::	burn%2:30:08::
hom_26_15	spell%1:28:01::	spell%2:36:00::
hom_27_10	bounce%2:38:00::	bounce%1:11:00::
hom_28_5	shot%1:18:00::	shot%1:04:04::
hom_30_8	gush%2:35:00::	gush%2:38:00::
hom_31_12	raft%1:23:00::	raft%2:36:00::
hom_34_15	coach%2:32:00::	coach%2:38:00::
hom_38_9	broken%5:00:00:disorganized:00	broken%5:00:00:damaged:00
hom_39_20	level%2:30:00::	level%2:32:01::
hom_43_8	case%1:18:02::	case%1:06:01::
hom_44_12	roll%2:38:09::	stove%1:06:01::
hom_45_6	part%1:15:00::	part%1:10:00::
hom_46_9	focus%2:39:00::	focus%2:30:01::
hom_47_13	groundbreaking%5:00:00:original:00	groundbreaking%1:04:00::
hom_50_9	taste%2:39:01::	taste%2:31:05::
hom_51_8	fret%2:40:00::	fret%1:06:01::
hom_52_19	still%3:00:03::	still%4:02:00::
hom_53_8	patent%5:00:00:unobstructed:00	patent%2:41:00::
hom_55_12	see%2:31:01::	see%2:41:12::
hom_58_15	foot%1:10:00::	foot%2:38:00::
hom_61_10	irrational%1:23:00::	irrational%3:01:00::
hom_62_9	land%2:40:00::	landing%1:06:00::
hom_63_10	premise%2:32:00::	premises%1:15:00::
hom_67_15	bar%1:06:06::	bar%1:14:00::
hom_70_9	snap%1:06:01::	snap%1:04:03::
hom_71_21	sprinkle%2:30:00::	sprinkle%2:35:00::
hom_72_10	faculty%1:09:00::	mental_faculty%1:09:00::
hom_74_9	energy%1:07:01::	energy%1:19:00::
hom_75_13	book%2:41:01::	book%2:41:03::
hom_76_7	count%2:31:02::	count%2:31:12::
hom_77_14	rest%1:26:01::	rest%1:04:00::
hom_78_18	crunch%2:30:00::	crunch%1:26:00::
hom_80_5	spout%2:38:00::	spout%2:32:00::
hom_82_6	makeover%1:04:00::	makeover%1:04:01::
hom_85_15	stand%2:42:00::	stand%2:42:03::
hom_86_20	record%1:21:00::	record%2:32:01::
hom_87_13	pat%1:11:00::	pat%1:04:00::
hom_88_11	match%1:11:00::	match%2:33:00::
hom_90_3	chill%1:12:02::	chill%2:37:00::
hom_91_15	root%2:30:02::	root%1:10:00::
hom_93_14	branch%2:30:01::	branch%2:30:00::
hom_96_12	blow%2:40:02::	blow%1:11:02::
hom_97_6	down%2:34:00::	down%2:35:00::
hom_99_10	unhinge%2:30:00::	unhinge%2:37:00::
hom_100_20	racket%2:35:00::	racket%1:06:00::
hom_103_7	croak%2:30:00::	croak%2:32:00::
hom_104_17	picking%1:04:00::	pick%2:34:00::
hom_108_10	zest%2:39:00::	zest%1:07:01::
hom_109_10	boring%5:00:00:uninteresting:00	boring%1:04:01::
hom_110_11	rut%1:25:00::	rut%2:42:00::
hom_112_7	go%2:30:04::	go%2:30:04::
hom_113_11	type%1:14:01::	type%1:18:00::
hom_115_11	cue%1:06:00::	cue%2:32:00::
hom_116_14	potty%5:00:00:unimportant:00	potty%5:00:00:loving:00
hom_117_5	grind%2:41:00::	grind%1:07:00::
hom_119_7	dismay%2:37:00::	alarm%2:32:00::
hom_120_12	differentiate%2:31:02::	differentiate%2:30:05::
hom_124_7	see%2:31:01::	see%2:36:00::
hom_125_17	possessive%5:00:00:dominant:01	possessive%5:00:00:acquisitive:00
hom_128_16	pitch%2:35:04::	pitch%2:33:04::
hom_130_11	bristle%2:31:00::	bristle%2:42:02::
hom_133_12	dough%1:21:00::	dough%1:13:00::
hom_135_10	ripe%5:00:00:opportune:00	ripe%5:00:00:late:00
hom_136_15	drain%1:06:00::	drain%1:06:01::
hom_137_5	integral%5:00:00:whole:00	integral%1:09:00::
hom_138_15	pitch%2:35:04::	pitch%2:33:04::
hom_140_12	general%2:32:00::	general%5:00:00:imprecise:00
hom_141_17	stable%1:06:00::	stable%5:00:00:sound:00
hom_142_17	front%1:19:00::	front%1:15:03::
hom_145_11	shot%1:23:00::	shot%1:18:00::
hom_147_8	average%5:00:00:common:01	average%5:00:01:normal:01
hom_148_15	show%2:38:00::	show%2:32:04::
hom_149_9	register%1:06:00::	register%1:06:03::
hom_150_8	contact%1:06:00::	contact%2:35:03::
hom_152_21	material%1:06:00::	material%3:00:03::
hom_153_2	call%1:10:01::	phone_call%1:10:00::
hom_154_9	pawn%1:06:00::	pawn%1:18:00::
hom_156_10	bombshell%1:06:00::	bombshell%1:11:00::
hom_157_8	pipe%1:06:01::	pipe%2:32:00::
hom_159_21	fly%2:38:04::	fly%1:05:00::
hom_160_9	mean%5:00:02:stingy:00	mean%5:00:01:stingy:00
hom_163_13	vent%1:17:00::	vent%2:30:00::
hom_164_12	cut%2:38:01::	cut%2:35:12::
hom_165_13	steal%2:40:00::	steal%1:04:00::
hom_169_8	flop%1:22:00::	flop%1:18:00::
hom_170_23	stage%2:36:00::	stage%1:10:00::
hom_172_10	vein%1:05:00::	vein%2:36:00::
hom_173_8	tender%5:00:00:unstable:00	tender%5:00:00:delicate:00
hom_174_17	mail%1:06:00::	mail%2:32:00::
hom_177_8	swept%3:00:00::	swept%3:00:00::
hom_178_15	click%2:35:00::	click%2:38:00::
hom_179_10	focus%2:30:01::	focus%1:19:00::
hom_181_17	net%1:21:00::	net%1:06:03::
hom_183_7	cavity%1:22:00::	cavity%1:17:00::
hom_185_12	problem%1:10:00::	problem%1:09:00::
hom_186_13	bone%2:30:00::	bone%2:31:00::
hom_188_22	chicken%1:05:01::	chicken%1:18:00::
hom_189_11	drive%2:33:00::	drive%2:35:02::
hom_191_11	identity%1:24:01::	identity%1:09:00::
hom_193_14	ball%1:08:01::	ball%1:06:03::
hom_195_7	makeover%1:04:00::	makeover%1:04:01::
hom_196_14	point%2:32:00::	point%2:33:10::
hom_197_13	short%1:06:01::	short%1:04:00::
hom_198_3	march%2:38:10::	march%2:38:03::
hom_199_21	recount%2:32:00::	recount%2:32:02::
hom_201_13	hitch%1:26:00::	hitch%1:06:00::
hom_202_12	go%2:30:04::	go%2:30:04::
hom_203_7	pop%5:00:00:nonclassical:00	pop%2:30:03::
hom_206_15	rake%2:39:00::	rake%2:35:00::
hom_207_8	combination%1:14:01::	combination%1:04:00::
hom_208_13	arms%1:06:01::	arms%1:06:00::
hom_209_17	lot%1:18:00::	lot%1:23:00::
hom_214_13	flies%1:15:00::	flies%1:15:00::
hom_217_12	domain%1:14:01::	domain%1:14:00::
hom_219_12	dough%1:21:00::	dough%1:13:00::
hom_220_11	root%2:30:02::	root%2:42:00::
hom_221_19	right%1:15:00::	right%5:00:00:outside:00
hom_222_7	high%5:00:00:intoxicated:00	high%4:02:02::
hom_223_9	still%1:06:01::	still%2:30:05::
hom_224_11	cut%2:32:00::	cut%2:30:06::
hom_225_8	nail%2:40:00::	nail%2:35:02::
hom_226_10	alarm%2:32:00::	alarm%2:37:00::
hom_227_14	get%2:30:02::	get%2:30:01::
hom_229_3	boil%2:30:02::	boil%2:37:00::
hom_231_14	mass%1:04:00::	mass%1:17:00::
hom_233_26	tension%1:26:00::	tension%1:19:00::
hom_234_6	suit%1:06:00::	suit%1:06:01::
hom_235_9	crown%2:41:00::	crowning%5:00:00:ultimate:00
hom_236_12	mass%1:04:00::	mass%1:14:02::
hom_237_8	buzz%2:38:00::	buzz%2:42:00::
hom_238_3	committed%3:00:00::	commit%2:32:01::
hom_243_11	sweeping%1:04:00::	sweeping%5:00:00:wide:00
hom_245_10	uproot%2:41:00::	uproot%2:35:00::
hom_250_9	slip%1:20:00::	slip%1:06:03::
hom_251_13	multiply%2:29:00::	multiply%2:29:01::
hom_254_16	scratch%2:35:05::	scratch%2:35:04::
hom_255_10	retainer%1:18:00::	retainer%1:06:00::
hom_258_14	gravity%1:12:00::	gravity%1:19:00::
hom_259_13	flake%1:19:00::	flake%2:35:00::
hom_260_12	ghost%2:37:00::	ghost%2:36:00::
hom_261_11	fall%2:40:13::	fall%2:42:03::
hom_262_5	sap%1:27:00::	sap%2:40:00::
hom_266_12	buck%1:06:01::	buck%1:05:00::
hom_267_9	staff%1:14:00::	faculty%1:09:00::
hom_268_12	see%2:36:00::	see%2:31:01::
hom_273_9	punch%1:04:00::	punch%2:35:01::
hom_274_14	dribble%1:11:00::	dribble%2:38:00::
hom_276_13	log%2:35:00::	log%1:10:00::
hom_277_7	putter%1:18:00::	putter%2:35:01::
hom_278_18	tip%1:10:00::	tip%1:15:01::
hom_281_15	bat%1:04:00::	bat%2:35:02::
hom_282_19	reservation%1:04:00::	reservation%1:09:01::
hom_283_22	overboard%4:02:00::	overboard%4:02:01::
hom_284_14	stock%1:21:00::	stock%2:40:01::
hom_285_19	sentence%2:32:00::	sentence%1:04:00::
hom_286_10	hop%1:04:00::	hop%1:20:00::
hom_288_17	fan%2:30:00::	fan%2:35:00::
hom_289_7	seasoned%5:00:00:experienced:00	season%2:30:01::
hom_293_18	impression%1:06:00::	impression%1:10:00::
hom_294_11	spark%1:18:00::	spark%2:43:00::
hom_296_7	mold%1:20:00::	mold%2:36:01::
hom_298_11	tuning%1:04:00::	tuning%1:04:00::
hom_300_5	hedge%2:30:00::	hedge%2:35:00::
hom_301_14	chick%1:18:00::	chick%1:05:00::
hom_308_35	take%2:31:07::	take%2:42:00::
hom_310_17	peach%1:13:00::	peach%1:07:00::
hom_313_12	expression%1:10:02::	expression%1:10:00::
hom_315_21	marooned%5:00:00:unaccompanied:00	maroon%2:30:00::
hom_316_14	prone%5:00:00:inclined:02	prone%5:00:00:unerect:00
hom_317_20	dressing%1:13:01::	dress%2:36:00::
hom_318_17	blow%2:40:02::	blow%2:38:08::
hom_319_13	plaque%1:08:00::	plaque%1:06:00::
hom_320_7	scratch%2:39:00::	scratch%2:35:04::
hom_323_11	shallow%2:30:00::	shallow%5:00:00:superficial:00
hom_324_11	fluke%1:05:01::	fluke%1:19:00::
hom_325_12	account%1:10:04::	account%2:42:01::
hom_327_13	square%1:25:00::	square%5:00:00:wholesome:00
hom_330_8	tie%2:35:00::	tie%2:36:00::
hom_334_10	gas%1:27:03::	gas%1:27:02::
hom_338_9	take%2:30:00::	take%2:35:00::
hom_339_17	keep%2:34:00::	keep%2:42:07::
hom_341_10	arrangement%1:14:00::	arrangement%1:07:00::
hom_342_14	alive%3:00:01::	alive%5:00:00:sensitive:02
hom_345_10	jam%1:13:00::	jam%2:38:00::
hom_348_19	accident%1:11:01::	accident%1:11:00::
hom_349_7	windows%1:10:00::	window%1:28:00::
hom_350_11	plane%1:06:01::	plane%1:06:00::
hom_354_3	submerged%5:00:01:subsurface:00	submerge%2:35:00::
hom_355_15	stock%2:40:01::	stock%1:13:01::
hom_356_8	strip%2:30:12::	strip%2:30:01::
hom_357_7	suck%2:38:00::	suck%2:42:00::
hom_358_8	stir%2:37:01::	stirring%5:00:00:moving:01
hom_359_8	state%2:32:00::	state%2:32:02::
hom_360_10	spark%1:18:00::	spark%2:43:00::
hom_361_7	dead%5:00:00:inactive:03	dead%5:00:00:insensitive:01
hom_362_11	false%3:00:00::	false%5:00:00:inconstant:00
hom_363_15	heel%1:06:02::	heel%2:38:01::
hom_364_14	pony%1:10:00::	pony%1:06:00::
hom_366_14	prune%2:35:00::	prune%1:13:00::
hom_367_12	terminal%1:06:00::	terminal%5:00:00:fatal:00
hom_369_11	grilled%5:00:02:cooked:00	grill%2:32:00::
hom_371_6	tapered%5:00:00:narrow:00	taper%2:30:02::
hom_373_21	rough%1:15:00::	rough%4:02:03::
hom_374_11	tip%1:15:01::	tip%1:21:00::
hom_375_11	score%2:35:01::	score%1:04:00::
hom_378_12	funny%5:00:00:questionable:00	funny%1:10:00::
hom_380_20	step%1:04:02::	step%1:10:00::
hom_381_10	drive%2:35:00::	drive%2:38:02::
hom_382_8	beef%1:13:00::	beef%2:32:00::
hom_383_10	song%1:14:00::	song%1:11:00::
hom_386_9	arrange%2:32:04::	arranged%5:00:01:organized:02
hom_389_10	cut%2:29:00::	cut%2:38:01::
hom_390_13	date%1:13:00::	date%2:31:00::
hom_391_10	long%3:00:01::	longer%1:18:00::
hom_392_5	bang%2:35:04::	bang%2:35:02::
hom_393_10	blow%2:41:00::	blow%2:38:08::
hom_394_10	loaded%5:00:00:prejudiced:00	loaded%3:00:00::
hom_395_8	take%2:40:05::	take%2:38:05::
hom_396_18	let%1:04:00::	let%2:32:02::
hom_397_13	august%1:28:00::	aug%1:28:00::
hom_399_13	draw%2:30:08::	draw%2:40:01::
hom_400_9	fly%2:38:04::	fly%5:00:00:alert:00
hom_401_13	add%2:30:00::	add%2:31:00::
hom_402_14	stink%2:42:00::	stink%2:39:00::
hom_405_12	mint%1:13:01::	mint%1:23:00::
hom_406_6	element%1:06:00::	element%1:25:00::
hom_408_11	pass%1:04:00::	pas%1:04:00::
hom_409_10	exhaust%2:40:00::	exhaust%2:29:02::
hom_411_8	align%2:30:01::	align%2:31:00::
hom_412_30	change%2:30:05::	change%2:30:00::
hom_414_13	contain%2:42:00::	contain%2:42:13::
hom_417_14	quarter%2:42:00::	quarter%1:28:01::
hom_418_9	downhill%1:11:00::	downhill%4:02:00::
hom_421_16	dirt%5:00:00:unimproved:00	dirt%1:27:01::
hom_422_20	miss%2:31:00::	missing%5:00:00:lost:01
hom_423_12	deliverer%1:18:03::	deliverer%1:18:02::
hom_424_16	knit%2:36:00::	knit%2:35:00::
hom_428_10	pan%2:32:00::	pan%2:35:00::
hom_429_8	pointless%3:00:00::	pointless%5:00:00:worthless:00
hom_430_16	slip%2:31:01::	slipping%5:00:00:slippery:00
hom_431_15	landslide%1:11:00::	landslide%1:11:01::
hom_432_20	deal%2:40:01::	deal%1:14:00::
hom_434_13	clerical%5:00:00:white-collar:00	clerical%3:01:00::
hom_437_6	suspended%5:00:01:supported:00	suspend%2:42:00::
hom_440_9	ground%1:17:01::	ground%1:06:01::
hom_441_9	faculty%1:09:00::	mental_faculty%1:09:00::
hom_443_10	potential%5:00:00:prospective:00	potential%1:26:00::
hom_447_29	snap%2:38:00::	snap%2:32:01::
hom_449_17	calve%2:29:00::	calve%2:35:00::
hom_451_17	flag%1:10:01::	flag%2:38:01::
hom_452_8	ruin%2:30:00::	ruin%1:26:00::
hom_454_11	cabinet%1:14:00::	cabinet%1:06:01::
hom_457_12	crow%2:32:00::	crow%2:32:02::
hom_463_8	pine%1:20:02::	pine%2:37:00::
hom_464_10	ironed%3:00:00::	iron%2:35:00::
hom_468_10	span%1:06:00::	span%1:07:00::
hom_470_12	buffer%2:30:00::	buffer%1:06:03::
hom_473_23	dummy%2:36:00::	dummy_up%2:36:00::
hom_478_17	pay%2:40:01::	pay%2:31:03::
hom_479_11	change%2:40:00::	change%2:30:02::
hom_481_15	steep%2:31:00::	steep%1:17:00::
hom_482_9	fort%2:35:00::	fortified%5:00:00:strong:00
hom_483_9	expire%2:30:00::	expire%2:42:00::
hom_485_15	connection%1:18:01::	connection%1:04:00::
hom_486_8	relative%1:18:00::	relative%1:05:00::
hom_487_21	dream%1:09:03::	dream%2:39:00::
hom_488_9	bore%2:35:00::	bore%2:37:00::
hom_490_12	story%1:10:01::	story%1:06:00::
hom_491_4	palm%1:20:00::	palm%2:35:00::
hom_493_7	hash%2:35:00::	hash%1:06:00::
hom_495_11	hold%2:41:15::	hold%2:42:00::
hom_496_8	score%1:09:00::	scores%1:23:00::
hom_497_12	impression%1:06:00::	impression%1:04:01::
hom_500_20	trigger%2:33:00::	trigger%2:36:00::
hom_502_10	staple%1:27:01::	staple%1:06:00::
hom_503_14	proof%1:04:00::	proof%2:36:00::
hom_504_17	count%2:31:02::	count%1:18:00::
hom_508_9	lousy%5:00:00:nasty:00	lousy%5:00:00:bad:00
hom_509_5	joke%2:32:00::	joke%1:10:00::
hom_511_22	nuts%5:00:00:insane:00	nut%1:06:00::
hom_512_11	planted%5:00:00:established:00	plant%2:35:06::
hom_513_16	come%2:30:01::	derive%2:42:00::
hom_514_10	trace%2:38:03::	trace%1:10:02::
hom_516_10	charge%1:19:00::	charge%1:10:01::
hom_520_9	grip%1:19:00::	grip%1:06:02::
hom_522_17	file%2:35:00::	file%2:32:00::
hom_524_9	class%1:04:00::	class%1:14:02::
hom_525_6	flash%1:28:00::	flash%1:06:01::
hom_526_10	blend%2:42:00::	blended%3:00:00::
hom_531_12	comb%2:29:00::	comb%2:35:00::
hom_535_6	bouncing%1:11:00::	bouncing%5:00:00:lively:00
hom_538_7	squealer%1:18:00::	squealer%1:05:00::
hom_540_5	cycle%1:28:02::	cycle%1:06:00::
hom_542_9	serving%1:13:00::	serving%1:04:00::
hom_543_14	late%5:00:02:past:00	late%3:00:00::
hom_545_8	club%1:06:04::	club%1:14:00::
